
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-02-06 12:27

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T20F169
# Package status: final
# Project: MIPIDebug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
L2,CDONE,,Output,1A,3.3 V LVTTL / LVCMOS,,Configuration
K3,CRESET_N,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
A1,GND,,Power,,,,Ground
A13,GND,,Power,,,,Ground
E2,GND,,Power,,,,Ground
E12,GND,,Power,,,,Ground
F5,GND,,Power,,,,Ground
F6,GND,,Power,,,,Ground
F8,GND,,Power,,,,Ground
G6,GND,,Power,,,,Ground
G7,GND,,Power,,,,Ground
J7,GND,,Power,,,,Ground
J8,GND,,Power,,,,Ground
K2,GND,,Power,,,,Ground
K12,GND,,Power,,,,Ground
L12,GND,,Power,,,,Ground
M4,GND,,Power,,,,Ground
N1,GND,,Power,,,,Ground
N13,GND,,Power,,,,Ground
C11,GNDA_MIPI,,Power,,,,MIPI Ground
D3,GNDA_MIPI,,Power,,,,MIPI Ground
D11,GNDA_MIPI,,Power,,,,MIPI Ground
E5,GNDA_MIPI,,Power,,,,MIPI Ground
L13,GPIOB_CLKN0,,,4A,,,User IO/LVDS_REFCLK
M13,GPIOB_CLKP0,,,4A,,,User IO/LVDS_REFCLK
K7,GPIOB_RXN00,,,4A,,,User IO
M7,GPIOB_RXN01,,,4A,,,User IO
K8,GPIOB_RXN02,,,4A,,,User IO
N8,GPIOB_RXN03,,,4A,,,User IO
L9,GPIOB_RXN04,,,4A,,,User IO
N9,GPIOB_RXN05,,,4A,,,User IO
L10,GPIOB_RXN06,,,4A,,,User IO
M10,GPIOB_RXN07,,,4A,,,User IO
L11,GPIOB_RXN08,,,4A,,,User IO
M12,GPIOB_RXN09,PixelRxVSync.RXN,Output,4A,,,User IO
N12,GPIOB_RXN10,PixelTxVSync.RXN,Output,4A,,,User IO
K13,GPIOB_RXN12_EXTFB0,,,4A,,,User IO/LVDS_EXTFB
L7,GPIOB_RXP00,,,4A,,,User IO
N7,GPIOB_RXP01,,,4A,,,User IO
L8,GPIOB_RXP02,,,4A,,,User IO
M8,GPIOB_RXP03,,,4A,,,User IO
K9,GPIOB_RXP04,,,4A,,,User IO
M9,GPIOB_RXP05,,,4A,,,User IO
K10,GPIOB_RXP06,,,4A,,,User IO
N10,GPIOB_RXP07,,,4A,,,User IO
K11,GPIOB_RXP08,,,4A,,,User IO
M11,GPIOB_RXP09,,,4A,,,User IO
N11,GPIOB_RXP10,,,4A,,,User IO
J13,GPIOB_RXP12_EXTFB0,PixelTxHSync.RXP,Output,4A,,,User IO/LVDS_EXTFB
N2,GPIOB_TXN00,,,4B,,,User IO
M1,GPIOB_TXN01,,,4B,,,User IO
L3,GPIOB_TXN02,,,4B,,,User IO
L4,GPIOB_TXN03,,,4B,,,User IO
M5,GPIOB_TXN05,,,4B,,,User IO
